GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio10,ListaDocumentos,50,28,8,0,10,6,9,5,5,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio10,CuadradoDrawable,13,83,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio10,CirculoDrawable,13,83,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio10,Drawable,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio1,ConjuntoPersonas,31,131,7,19,7,33,8,15,1,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio7,ConjuntoDispositivos,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio6,ConjuntoCuentasBancarias,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio9,ConjuntoProductos,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio8,ConjuntoPagos,41,23,6,0,10,5,7,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio3,ConjuntoEmpleados,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio2,ConjuntoVehiculos,55,23,12,0,12,5,10,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio5,ConjuntoFiguras,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio4,ConjuntoAnimales,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio10,Documento,4,56,2,6,2,14,2,8,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio10,Factura,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio10,Contrato,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio5,SensorTemperatura,13,82,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio5,SensorPresion,13,82,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio5,Medible,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio6,Admin,15,88,9,11,5,24,8,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio6,Autenticable,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio6,Usuario,15,88,9,11,5,24,8,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio3,Conectable,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio3,Wifi,14,87,9,11,5,24,8,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio3,Bluetooth,15,87,9,11,5,24,8,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio4,Reproducible,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio4,Cancion,13,83,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio4,Podcast,13,85,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio9,ClienteVip,13,86,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio9,Descontable,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio9,Cupon,13,86,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio7,CsvExporter,13,83,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio7,Exportable,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio7,JsonExporter,14,85,8,10,5,24,7,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio10,MapaDocumentos,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio8,EmailNotifier,14,92,10,12,5,24,9,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio8,Notificable,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio8,SmsNotifier,14,95,11,13,5,24,10,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio9,ListaProductos,60,28,10,0,12,6,10,5,5,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio1,Factura,13,88,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio1,Nomina,13,115,7,9,5,30,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio1,Pagable,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio2,Avion,13,81,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio2,Volador,2,0,0,0,1,0,1,0,1,0
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.interfaces.ejercicio2,Dron,13,81,7,9,5,24,6,10,0,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio3,Desarrollador,0,33,0,2,0,9,0,6,0,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio3,Empleado,2,59,1,5,1,15,1,9,0,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio3,Gerente,0,33,0,2,0,9,0,6,0,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio2,Vehiculo,5,59,1,5,2,15,2,9,1,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio2,Motocicleta,0,33,0,2,0,10,0,7,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio2,Coche,0,33,0,2,0,10,0,7,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio5,Rectangulo,0,32,0,0,0,8,0,5,0,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio5,Circulo,0,26,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio5,Figura,4,56,2,6,2,14,2,8,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio4,Perro,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio4,Animal,4,56,2,6,2,14,2,8,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio4,Gato,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio9,MapaProductos,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio8,MapaPagos,41,23,6,0,10,5,7,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio1,Alumno,0,39,0,2,0,12,0,8,0,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio1,Persona,5,65,1,5,2,18,2,10,1,8
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio1,Profesor,0,35,0,2,0,10,0,7,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio4,ListaAnimales,50,28,8,0,10,6,9,5,5,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio5,MapaFiguras,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio4,MapaAnimales,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio3,ListaEmpleados,23,140,4,20,4,34,6,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio7,MapaDispositivos,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio2,ListaVehiculos,24,148,5,21,3,34,7,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio6,MapaCuentasBancarias,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio1,ListaPersonas,30,156,5,21,4,37,7,17,2,9
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio8,ListaPagos,48,28,6,0,10,6,8,5,5,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio1,MapaPersonas,51,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio7,ListaDispositivos,50,28,8,0,10,6,9,5,5,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio6,ListaCuentasBancarias,60,28,10,0,12,6,10,5,5,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio3,MapaEmpleados,53,23,10,0,12,5,9,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.listas.ejercicio5,ListaFiguras,50,28,8,0,10,6,9,5,5,5
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.maps.ejercicio2,MapaVehiculos,55,23,12,0,12,5,10,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.sets.ejercicio10,ConjuntoDocumentos,43,23,8,0,10,5,8,4,4,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio7,Telefono,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio7,Dispositivo,4,56,2,6,2,14,2,8,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio7,Portatil,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio6,CuentaBancaria,4,64,2,6,2,16,2,9,0,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio6,CuentaCorriente,0,21,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio6,CuentaAhorro,0,21,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio9,Producto,4,64,2,6,2,16,2,9,0,7
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio9,Libro,0,21,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio9,Electronica,0,21,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio8,Pago,4,56,2,6,2,14,2,8,0,6
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio8,PagoTarjeta,0,20,0,0,0,6,0,4,0,4
Herencia/Interfaces/List/Set/Map - 10 ejercicios,com.docencia.herencia.ejercicio8,PagoEfectivo,0,23,0,0,0,6,0,4,0,4
